#rank	DIAMOnD_node	p_hyper
72	5371	2.0984849919401084e-15
73	3065	1.0381263081712835e-14
74	6597	2.3915355901410347e-15
75	4261	1.0992795622951558e-16
76	6908	1.6510962828218671e-15
77	1487	1.6739927160961872e-15
78	688	2.792738826285554e-15
79	4792	3.647369289444328e-15
80	2874	5.291563324809619e-15
81	122953	5.792967531215172e-15
82	4780	7.183398092031537e-15
83	7161	8.798820605444204e-15
84	5325	8.382657709499895e-16
85	6670	3.919643121481627e-15
86	1147	4.481194214335434e-15
87	2309	4.283355157389824e-15
88	8805	1.497883249648752e-14
89	7528	1.5723262349964712e-14
90	1958	2.981329791382912e-14
91	10273	3.47028189544986e-14
92	1499	1.5983689639171213e-14
93	196	3.034361211554685e-15
94	4800	3.4844429574123486e-15
95	5591	3.925390162938228e-15
96	142	1.400325800394778e-15
97	4801	7.769332263313803e-17
98	2547	1.5979319155172665e-16
99	51341	3.743569170846428e-17
100	7520	9.476880723540338e-18
101	1786	2.8031864422067657e-17
102	4089	6.443578002949785e-17
103	5469	7.134753004502674e-17
104	3066	1.1935901414259757e-16
105	4087	4.5656598304696507e-17
106	2648	2.929063403818487e-17
107	6720	2.4836719745357764e-17
108	472	2.568192250540203e-17
109	7428	9.08609754122825e-17
110	3164	2.187977698362941e-17
111	1457	1.9626486348220636e-17
112	7020	5.241543667612454e-17
113	2034	5.999507214584354e-18
114	9862	2.9045093899331296e-17
115	9439	1.4619161733100114e-17
116	6722	1.5587124988291172e-16
117	6591	1.6897548054257857e-16
118	10401	1.4183290642863686e-16
119	25942	2.5051289265641665e-16
120	2969	4.721720037440143e-17
121	604	5.583823476858024e-17
122	6688	2.1281634167514463e-17
123	6595	1.3549368648457705e-16
124	861	1.964872359893666e-16
125	4654	4.210846962514394e-17
126	6599	6.444539945481261e-17
127	6601	3.482544128050606e-17
128	8289	6.950453792388719e-18
129	1649	2.846124561313396e-18
130	5929	1.0702255341706557e-17
131	6878	7.624589036153723e-18
132	6603	2.6905206666246132e-17
133	6604	1.5299186954462312e-18
134	79718	2.793650108937907e-19
135	6598	4.0535656106559617e-19
136	6605	6.1068752798570525e-19
137	5971	5.0322392819676124e-20
138	26039	5.562850780182649e-20
139	6760	6.414718432944267e-20
140	2078	1.309720722251467e-20
141	2313	8.100117595586491e-22
142	57492	4.774481909395553e-22
143	2624	2.229270317327497e-21
144	605	2.6756876948292994e-22
145	86	3.387078712027241e-23
146	8193	1.7789552144816938e-24
147	196528	1.0054646355799949e-24
148	6602	8.676842302220762e-25
149	5977	4.06970101101983e-25
150	29998	7.803976754689875e-26
151	9274	5.8082606780452375e-27
152	121340	2.2766476643921628e-26
153	8110	9.458743767341912e-27
154	55193	7.219117987832931e-27
155	3659	1.1477795093760142e-27
156	55274	7.997081404120472e-28
157	65980	2.1726660440649465e-28
158	6662	4.908188509644775e-27
159	9275	2.0967505169033035e-26
160	5080	3.367461661355575e-27
161	4784	2.31732117252753e-25
162	4774	5.236169008195641e-25
163	6663	2.0706553943638816e-26
164	1406	8.634892025256024e-27
165	6907	3.210916547697611e-26
166	6928	4.586447393093096e-26
167	4781	4.546716356946678e-27
168	64321	2.3185005827100043e-28
169	6862	2.8739544683675393e-27
170	4782	1.0638935862331012e-27
171	2625	4.165968018231529e-28
172	84678	3.3740166806203937e-29
173	7227	1.1083964478153794e-28
174	1959	5.793906066149255e-28
175	7090	7.08498785754381e-29
176	8085	1.2628848510007668e-29
