#rank	DIAMOnD_node	p_hyper
1	5705	2.6513895817126095e-08
2	3320	7.675511331597026e-08
3	5707	3.324628714268302e-08
4	2902	1.00119392080672e-07
5	5708	1.2041989326162656e-07
6	6667	1.3746134566582226e-07
7	5451	1.9374684533153303e-08
8	3315	1.7866835602768918e-07
9	1387	5.145772834185486e-08
10	3308	6.019299855140412e-08
11	207	1.813591606390559e-08
12	983	1.4832516470277602e-08
13	11140	9.63392728914923e-09
14	1147	1.0079641915601285e-08
15	10273	2.7191523938789954e-09
16	3091	3.1234677753576897e-09
17	408	1.4192851489391817e-09
18	6714	1.7229551155868766e-09
19	7189	4.23148616272422e-10
20	5241	4.951263392830529e-10
21	4296	6.265428433659156e-10
22	3326	2.1697732262784567e-10
23	3551	4.954698072106412e-11
24	2534	2.457812587918599e-10
25	10808	1.9273772791818716e-10
26	602	9.300930669931218e-12
27	57805	7.018526741314029e-11
28	8878	2.8752406875659796e-10
29	6256	2.992749800750017e-11
30	1499	3.0293195563331435e-11
31	790	1.2414615330167145e-11
32	7170	1.7910549508970848e-11
33	2288	1.898337936369723e-11
34	4137	2.067611812474028e-11
35	801	9.658225079266314e-12
36	5701	1.597113905727484e-11
37	4627	1.4163647787270766e-11
38	5706	2.440137506902017e-12
39	7337	1.7279147656528585e-12
40	3309	1.3068506567139861e-12
41	5700	2.054237262488407e-13
42	26130	8.6157662745765e-14
43	5717	3.600839547885914e-14
44	11047	2.0237555561746846e-14
45	5693	2.3653211555576767e-15
46	5702	1.1432693582799628e-15
47	5709	1.1495421244896395e-15
48	5713	2.973483487343844e-16
49	5518	1.12329624054775e-16
50	4843	1.473679567543333e-17
51	5718	2.5074393292544627e-18
52	7052	2.2901174504644723e-18
53	9861	1.743934581991272e-18
54	5704	7.078767353664526e-19
55	5719	2.9346024174761015e-19
56	91409	2.1581563978948788e-20
57	90557	1.1064273283649075e-21
58	5710	1.2399731818438533e-20
59	80212	3.1744937416647747e-21
60	5716	1.8012129556858215e-21
61	5711	4.62288355652236e-22
62	5714	1.216243925446239e-22
63	80227	1.428027644252935e-23
64	51377	2.577311500682061e-24
65	5687	6.9955690822270465e-25
66	5695	6.156058492198303e-26
67	10213	2.9637480797362296e-26
68	5886	2.6747122302831767e-27
69	5690	3.269184092891958e-28
70	5683	7.563030840499823e-29
71	84934	2.1474866067852616e-30
72	5692	6.871250956556902e-30
73	5698	9.560531222507397e-31
74	5696	2.4363235428275163e-31
75	5694	1.4695624866378714e-31
76	23198	9.019352972834739e-33
77	5688	8.649627247195e-34
78	5686	4.711158916954528e-34
79	5691	4.564565383480818e-35
80	5721	5.017810058415884e-35
81	5685	6.541817621230765e-35
82	84301	3.632565997955107e-36
83	5887	2.5188780609298545e-37
84	414301	1.4420682850818614e-36
85	5689	7.882774277788088e-36
86	5684	2.983165134417787e-36
87	143471	5.669930387614315e-37
88	5682	2.5503925986892604e-37
89	55122	1.105786218912855e-37
90	5715	6.405373684498614e-37
91	5720	1.1532195831215805e-35
92	7979	1.0348160641392841e-35
93	23392	6.996078582216421e-34
94	9927	2.8622849480869713e-33
95	9097	1.2388294809006857e-31
96	4094	5.327082853029818e-31
97	401388	1.7645360769366897e-30
98	9690	3.018858984765258e-30
99	5771	6.70997522619588e-30
100	29979	1.7737682871722432e-28
101	55819	1.0378049486155174e-28
102	7415	8.193988085978768e-29
103	9352	1.2738726098208045e-28
104	56984	4.143916703332655e-28
105	8624	1.248259448552811e-27
106	51371	3.465751935592033e-26
107	11279	4.7699288425214116e-26
108	10075	6.563092191009619e-26
109	3799	4.801930890068402e-26
110	10197	7.03711418509432e-26
111	55626	2.390538068273717e-26
112	8314	2.5335577242996254e-25
113	3312	2.4782317734249886e-25
114	134510	1.0239044218008031e-26
115	1981	9.509524226771484e-26
116	9636	9.56760516265699e-26
117	5597	1.612409137207455e-25
118	9040	1.9697521267069346e-24
119	4131	4.499870116264358e-25
120	7316	6.039328089491418e-24
121	267	3.967608491227089e-24
122	6233	4.946376639868346e-24
123	27351	6.692092287468324e-25
124	10537	1.0091837528582805e-23
125	7431	1.3935919644937453e-23
126	29978	4.0391010568476666e-24
127	9491	1.0946759321989633e-24
128	56893	3.348802075565606e-24
129	476	5.0544680545262415e-24
130	8826	2.490129648317773e-24
131	2803	2.5987367459907322e-24
132	3301	2.0592275767124357e-24
133	2912	8.307885157923614e-25
134	3303	3.39337032810737e-24
135	31	1.648852458651542e-24
136	3831	2.75073762243087e-25
137	6050	1.5845544674562944e-25
138	10128	4.5419395975246464e-26
139	5576	8.77476436884702e-27
140	9043	2.6003835595226757e-27
141	10856	3.0256589667511178e-25
142	11338	1.4037159627106832e-25
143	148932	4.366700663063306e-25
144	9958	4.11777742535967e-25
145	8607	2.861562117127891e-25
146	7965	5.51659366375906e-25
147	2194	1.146809531340782e-25
148	4134	3.3084222182213375e-26
149	10694	1.7295908045862925e-26
150	1781	1.961306122016215e-26
151	5071	2.4358775309809765e-26
152	3185	2.463684896390889e-26
153	3615	2.2495312254228687e-26
154	203228	1.0180925919216597e-26
155	3843	1.4575805022729355e-26
156	1540	1.0709613636487103e-26
157	47	1.210858391165742e-27
158	1778	4.777734072428907e-27
159	2935	3.626207279231203e-27
160	3313	1.1083533792222309e-26
161	10419	2.823419630359126e-26
162	5520	1.4326654158504227e-26
163	899	5.3706898482032875e-27
164	10294	3.9101443615396675e-27
165	90850	1.18682669024085e-27
166	10575	1.4203560689862078e-27
167	4914	1.2040251490319166e-27
168	5537	6.303482464629939e-28
169	10576	3.1775716957704234e-28
170	11171	1.3943443877478683e-28
171	10551	2.3886395200268326e-28
172	1642	1.196581946533473e-28
173	3276	9.615039143587052e-29
174	7328	4.7711998460856727e-29
175	9343	1.6460993962201495e-29
176	1213	2.0167197866816608e-29
177	1938	3.770627119223257e-30
178	80230	9.565413034119756e-31
179	2316	3.9300254423763917e-31
180	832	8.956589670020757e-32
181	25980	7.137626085313153e-32
182	829	1.0623528222632877e-32
183	1665	4.973660036690981e-32
184	9401	1.8058946430248503e-32
185	4522	9.002313181171969e-33
186	22948	2.3700256485855374e-32
187	7203	4.1617641454745385e-33
188	191	9.432077440449856e-33
189	10614	4.19725370715342e-33
190	10121	1.5277689343569586e-33
