#rank	DIAMOnD_node	p_hyper
1	2902	4.6681554541589276e-09
2	5705	1.3812890438253197e-07
3	6667	6.034844968564669e-07
4	3320	3.0095350416278825e-07
5	5451	1.5049377488963267e-07
6	1387	1.805934647724111e-07
7	9063	2.1830611119741689e-07
8	1386	2.9173083307256434e-07
9	4193	3.3813963783809494e-07
10	8850	6.922624068513029e-08
11	3725	3.624712043742462e-08
12	4800	7.324085651158543e-09
13	5241	9.017573980506227e-08
14	5591	1.0840535131707563e-07
15	10524	1.0276341262769786e-07
16	8841	2.072551871219747e-08
17	2033	2.3188187180312373e-08
18	4801	9.205792817370763e-09
19	1487	1.3558237837291996e-08
20	3091	2.2236244124121223e-08
21	405	7.568166869323336e-09
22	8648	3.7428677706649065e-09
23	602	4.520081506113358e-09
24	5914	5.0705537527039264e-09
25	6256	2.4925901934961403e-09
26	5594	1.7502217342676283e-09
27	7421	1.3131445398702137e-09
28	9611	3.6038281848411295e-10
29	8202	5.1183641601242994e-11
30	9612	1.2559695416442199e-11
31	2113	3.114291156751138e-11
32	5468	5.486391787891209e-11
33	4088	1.0679356743943893e-11
34	10062	2.1375010950786544e-11
35	23054	9.53249570540394e-12
36	8856	6.903175777447788e-12
37	10499	8.712423769254837e-13
38	7329	5.4235421760799e-12
39	3172	1.8838233345860187e-12
40	23411	3.0103477654035e-12
41	2101	6.52697136263009e-13
42	8431	7.374319855946652e-14
43	7067	4.2457842136365116e-13
44	8204	6.493433739962399e-14
45	7376	8.683437073463138e-14
46	10891	1.7692438897020954e-13
47	7068	2.977302823060557e-14
48	5467	4.143937979614174e-14
49	6258	1.0706713865304728e-14
50	5465	3.3706065788349376e-15
51	9971	4.138369657387149e-14
52	5970	7.951085284055767e-14
53	595	8.047273408414813e-14
54	2353	8.753714129846198e-14
55	3727	2.2941430445632477e-13
56	6257	5.45331527714939e-13
57	5925	6.617499951376656e-13
58	6908	3.1974339554895567e-13
59	860	4.314771754885695e-13
60	9759	5.951554608241649e-13
61	4790	3.856639630168237e-13
62	6722	4.1132392476386664e-13
63	1869	4.891635749561051e-13
64	6772	4.2141112431051185e-13
65	3065	2.1999620275549288e-13
66	7157	2.815581148352314e-13
67	29947	2.5809632811442313e-14
68	1026	3.596881328769944e-13
69	4780	3.9935627057827185e-13
70	6597	7.066738584563538e-14
71	4261	1.2707120338611593e-13
72	5371	4.135342607753848e-14
73	4772	7.58535800856643e-14
74	8554	2.3131271519028735e-14
75	3164	1.5343032453826653e-14
76	6996	1.0159570140202946e-13
77	7161	6.790160179745127e-14
78	1147	2.381450231690737e-14
79	7341	3.647288376963418e-14
80	5325	7.199209257538068e-16
81	7704	2.7934383572772043e-14
82	1050	3.379233578020847e-14
83	3726	2.352076075014127e-14
84	1958	2.255156060254314e-14
85	4205	5.084441267515596e-14
86	4209	4.8403107368246017e-14
87	2309	7.645203461298341e-14
88	6670	9.33967830857163e-14
89	7528	9.442396237554277e-14
90	2547	8.441105385492767e-14
91	3159	4.91951368460012e-14
92	7520	3.0533893351388867e-14
93	8805	2.370873046163258e-14
94	472	2.621741992714602e-14
95	142	1.6768967761033228e-14
96	5469	5.016962260632739e-15
97	196	3.9026199592801766e-15
98	51341	6.6932584710138114e-15
99	1499	9.609323198898228e-15
100	688	1.3502482502959535e-15
101	4089	2.3378230206205843e-15
102	4087	2.0523048694814345e-15
103	2274	1.49314938380992e-15
104	2969	3.455432479781063e-15
105	8091	2.4128414879613863e-15
106	10401	1.5296550059752877e-15
107	3066	3.721310468217721e-15
108	79718	1.2673990730814396e-15
109	604	1.9065291177386604e-15
110	6599	4.700919950133214e-15
