#rank	DIAMOnD_node	p_hyper
1	5705	2.593819040693456e-08
2	3320	7.437955577577095e-08
3	5707	3.2579284885738225e-08
4	2902	9.913712120036078e-08
5	5708	1.1805166713688079e-07
6	6667	1.3498129650771668e-07
7	5451	1.9084183614978957e-08
8	3315	1.7439811593485273e-07
9	1387	5.031306888403441e-08
10	3308	5.8725791373221803e-08
11	207	1.7698490847491865e-08
12	983	1.448487563624027e-08
13	11140	9.385032554391852e-09
14	1147	9.90882520108302e-09
15	10273	2.6476284862345117e-09
16	3091	3.0511481738710382e-09
17	408	1.3896589555890342e-09
18	6714	1.6786840157883218e-09
19	7189	4.1276971912679186e-10
20	5241	4.884747985873797e-10
21	4296	6.188091783005075e-10
22	3326	2.096286711215082e-10
23	3551	4.8524457562806585e-11
24	2534	2.399222575979653e-10
25	10808	1.8781190555409797e-10
26	602	9.173461569163279e-12
27	57805	6.849123993760793e-11
28	8878	2.764467804640118e-10
29	6256	2.936456972371455e-11
30	1499	2.9177583320650196e-11
31	790	1.207823885566162e-11
32	7170	1.744199329353242e-11
33	2288	1.8536516805915844e-11
34	4137	1.9896795646200485e-11
35	801	9.356554889786234e-12
36	5701	1.555290692822769e-11
37	4627	1.367950387266468e-11
38	5706	2.375214093480576e-12
39	7337	1.6773592862674508e-12
40	3309	1.2423950544064858e-12
41	5700	1.9949169086310698e-13
42	26130	8.41347631317706e-14
43	5717	3.492407686674232e-14
44	11047	1.9681105595328852e-14
45	5693	2.2995047928483715e-15
46	5702	1.1040122551143171e-15
47	5709	1.111084844376852e-15
48	5713	2.884197835517169e-16
49	5518	1.0774102411679858e-16
50	4843	1.433198165589207e-17
51	5718	2.4208995088412797e-18
52	7052	2.219869664773305e-18
53	9861	1.6836512486691855e-18
54	5704	6.81984639113299e-19
55	5719	2.8296209459931442e-19
56	91409	2.1169949539549782e-20
57	90557	1.083931019678695e-21
58	5710	1.1915316455732252e-20
59	80212	3.102643735690715e-21
60	5716	1.740960817881518e-21
61	5711	4.487012746910574e-22
62	5714	1.1752523442444355e-22
63	80227	1.388902931478855e-23
64	51377	2.466256982965053e-24
65	5687	6.693002226202649e-25
66	5695	5.912768386189247e-26
67	10213	2.8036059626764344e-26
68	5886	2.5627788533504353e-27
69	5690	3.1317652527051775e-28
70	5683	7.236392983812529e-29
71	84934	2.0850006111280905e-30
72	5692	6.566019032547127e-30
73	5698	9.227175198805564e-31
74	5696	2.345786456616809e-31
75	5694	1.4007838040816854e-31
76	23198	8.682840707774736e-33
77	5688	8.205607129290672e-34
78	5686	4.445424305818669e-34
79	5691	4.343386110683418e-35
80	5721	4.801601213624297e-35
81	5685	6.178039544940878e-35
82	84301	3.475568689408092e-36
83	5887	2.3853456761748665e-37
84	414301	1.3894648556923947e-36
85	5689	7.419267209696456e-36
86	5684	2.7900243817466306e-36
87	143471	5.456392982003446e-37
88	5682	2.3772129271973974e-37
89	55122	1.0628135602943264e-37
90	5715	6.093183505978772e-37
91	5720	1.0900678308520345e-35
92	7979	9.878823120264811e-36
93	23392	6.601768280105302e-34
94	9927	2.7395675878314624e-33
95	9097	1.1627120243827193e-31
96	4094	5.159375618870091e-31
97	401388	1.709049554798084e-30
98	9690	2.8814188459080755e-30
99	5771	6.41182935161625e-30
100	29979	1.6749080284839583e-28
101	55819	9.847717841627344e-29
102	7415	7.48777215168792e-29
103	9352	1.2163131862855156e-28
104	56984	4.0144064015082597e-28
105	8624	1.2051478364989809e-27
106	51371	3.3659082100262476e-26
107	11279	4.5391246266583716e-26
108	10075	6.082842041897514e-26
109	3799	4.5695829534985905e-26
110	10197	6.677357696770712e-26
111	55626	2.2815137669989976e-26
112	8314	2.335504107255666e-25
113	3312	2.2389553750621845e-25
114	134510	9.909025762772264e-27
115	1981	9.015147270201111e-26
116	9636	9.03589571186251e-26
117	5597	1.5243856758772107e-25
118	9040	1.8546959637467392e-24
119	4131	4.251124741993343e-25
120	7316	5.529806467269343e-24
121	267	3.804531411758079e-24
122	6233	4.6882659912867496e-24
123	27351	6.500082786944646e-25
124	10537	9.837785743070057e-24
125	7431	1.3071142316172435e-23
126	29978	3.780621078197121e-24
127	9491	1.0596750833254166e-24
128	56893	3.204596365670541e-24
129	476	4.773217846915641e-24
130	8826	2.3490668545395193e-24
131	2803	2.4917841562860394e-24
132	3301	1.9442592420733246e-24
133	2912	7.89409013085108e-25
134	3303	3.1067224700497466e-24
135	31	1.5729953886844747e-24
136	3831	2.628755267751147e-25
137	6050	1.5172728990186444e-25
138	10128	4.2277168657468667e-26
139	5576	8.399461275412207e-27
140	9043	2.4760331097672468e-27
141	10856	2.842637521076726e-25
142	11338	1.3162086867179885e-25
143	148932	4.144775948205563e-25
144	9958	3.8865585347659644e-25
145	8607	2.693288239361194e-25
146	7965	5.216777821029247e-25
147	2194	1.0861958751698218e-25
148	4134	3.145046503382088e-26
