#rank	DIAMOnD_node	p_hyper
1	3320	2.3223170960747436e-07
2	6667	1.101703739845073e-07
3	4193	2.1763177134021866e-07
4	408	1.4547073305596651e-07
5	2782	4.420168342473486e-08
6	2770	1.4567345999396202e-07
7	5451	1.7262869007582003e-07
8	3308	2.1358561974555195e-07
9	5241	7.940103825893481e-08
10	10273	3.644649048550507e-08
11	6714	2.218381303752119e-08
12	5594	1.6061623365073385e-08
13	3091	1.3637241723290065e-08
14	2064	4.3988158492373265e-08
15	11140	1.243510896930563e-08
16	1030	6.103585581820764e-09
17	3326	7.680557945438172e-09
18	4296	5.683954102336021e-10
19	1147	2.1596920759914676e-10
20	3551	4.2036797062611844e-11
21	1387	1.4514846102431654e-09
22	6195	1.220256952760994e-09
23	27	2.0038013803755292e-09
24	4233	1.922148468259678e-09
25	6794	3.516156190747251e-10
26	1019	3.7793433310569594e-10
27	26524	2.601144466877653e-10
28	1021	4.5725983864303995e-11
29	960	1.5994286951400296e-11
30	405	3.4469021234248104e-12
31	5606	1.6894020596992063e-12
32	1031	2.3111010985795915e-13
33	894	1.8780122362003006e-13
34	84662	1.2863750682647877e-13
35	3082	1.7808692770235455e-14
36	8463	1.656289694948336e-14
37	7015	7.852830230155441e-15
38	4217	1.695461336262629e-15
39	4771	1.3421158511167752e-15
40	11186	1.1609649700657615e-16
41	898	9.220510263052027e-17
42	2264	1.7988515945884532e-16
43	8678	6.255371300525013e-16
44	11014	3.737978538136411e-17
45	1969	6.214798257426699e-17
46	5608	6.181106401241453e-18
47	5156	3.938869488578228e-15
48	4194	1.360778292349808e-14
49	23624	6.667204000647915e-16
50	5970	6.943625224823567e-14
51	6790	8.246567008678791e-14
52	3480	4.910732874803198e-12
53	94015	4.393738749415494e-12
54	8517	4.806139438958742e-12
55	5295	5.918970381074546e-12
56	6464	1.4997921436646251e-12
57	5296	1.5981747506236277e-12
58	5747	2.657198260350319e-12
59	3717	1.949156642503467e-12
60	2534	5.228458479953046e-13
61	3667	8.257475048693924e-14
62	5781	3.348165489318381e-14
63	867	5.256764779332233e-14
64	7189	6.068803941785433e-13
65	5290	3.62717528524135e-13
66	1432	7.628031111086343e-13
67	1956	4.742612430835949e-13
68	5979	3.130950875097782e-13
69	2885	9.238125418826895e-14
70	10818	1.0315400729422213e-14
71	5335	1.2225672597319108e-14
72	3702	2.792593084566037e-15
73	2549	1.106738365434203e-15
74	5159	1.177881638773801e-15
75	4915	1.5737337325442383e-15
76	2066	2.561097756592349e-16
77	8503	5.169167604303298e-16
78	399694	1.4162252859066096e-15
79	8651	2.9062238269855422e-15
80	3716	9.075532305931303e-16
81	25	1.5360095271183548e-16
82	6654	1.9915076663079674e-16
83	1398	9.047606143050773e-17
84	2065	1.2901336781856544e-16
85	1399	4.1035159142563034e-17
86	5921	8.436383132779139e-17
87	3055	7.118909087670504e-18
88	3815	4.8517328743436445e-19
89	1796	1.153233011586513e-19
90	9021	4.398183997524319e-19
91	7525	1.1095197806705663e-19
92	1436	1.9568237608942229e-19
93	7535	3.79380641433837e-18
94	868	2.179592499863871e-19
95	6461	3.962176116842514e-18
96	4067	2.835833899027924e-18
97	2268	5.729635728250591e-19
98	695	2.3944075842842206e-18
99	9047	6.980205313383506e-18
100	6850	1.292810799352538e-18
101	3932	1.6322849106196027e-18
102	2185	1.9627299312956906e-19
103	5336	2.8302961516054276e-18
104	4690	1.0932851300650012e-17
105	29760	7.080406259769455e-19
106	10451	4.227398478095147e-19
107	7409	1.7948780331374928e-18
108	3937	5.015764020063088e-20
109	5777	2.088240922857251e-19
110	7454	2.423325835646019e-18
111	7006	7.812600716516505e-19
112	2057	3.7521796182587276e-18
113	3572	6.4027539559504135e-18
114	6452	6.824859198036981e-18
115	10188	1.494223362977604e-17
116	4068	1.2185363029735649e-17
117	6503	2.0508830236472896e-17
118	27040	6.693303847309598e-18
119	2242	8.345135100729258e-17
120	5829	1.0691789118110634e-16
121	1445	1.4586392176358384e-17
122	640	9.566882765782828e-17
123	3315	5.81920300705423e-17
124	9846	3.9195546869506615e-17
125	3327	1.4525673056405536e-16
126	5753	4.0442703011318744e-17
127	3310	2.374114994388552e-16
128	3313	1.6914737624086773e-16
129	4145	7.624480069369586e-18
130	8440	3.239723247597275e-16
131	10657	6.421572663201559e-17
132	5782	1.2037429173177154e-16
133	30011	1.382494304896172e-16
134	3303	1.6435320016794253e-16
135	6197	4.683257458471474e-16
136	3309	1.8114558253189658e-16
137	9564	5.845574929470454e-17
138	4739	4.6270562808478e-17
139	3643	1.5835170609152412e-16
140	3636	2.5003613132371735e-16
