#rank	DIAMOnD_node	p_hyper
1	2902	4.866202886003526e-09
2	3320	8.659312699847677e-08
3	1739	1.1236631787462011e-07
4	6667	1.2851711037194155e-07
5	5705	3.998503532784886e-08
6	11140	9.80162055167947e-08
7	5578	5.6665461272453504e-08
8	1147	5.67595127325859e-08
9	3315	5.531558211969106e-08
10	3551	1.2423308448453106e-08
11	4296	8.633841350261061e-09
12	1387	1.558486634474188e-08
13	3667	3.179814761261603e-08
14	5579	4.82688960306063e-08
15	50514	6.981443371219095e-08
16	2915	9.244692144212969e-08
17	983	1.0944804498245517e-07
18	3308	3.350849107437097e-08
19	5580	2.643026197528883e-08
20	7189	1.463354409332155e-08
21	2475	3.344682038653945e-09
22	3091	5.525486427535575e-09
23	8878	1.9967199955199283e-09
24	10273	1.533715402294556e-09
25	6502	1.4605953627538351e-09
26	8517	4.053609239844596e-10
27	4137	2.2005829563885384e-09
28	3326	1.9061761704159108e-09
29	5590	4.4489244431326487e-10
30	3654	1.0822372390641217e-10
31	5582	5.255795880725709e-10
32	3301	1.9475648608834179e-10
33	9532	3.6776164437347843e-10
34	10294	8.15600717855997e-11
35	790	6.680530724673541e-10
36	405	3.7443674381357265e-10
37	1019	1.184829707231051e-10
38	2534	1.3652664624254728e-10
39	6714	1.105652490502709e-10
40	10808	2.4328516531016877e-11
41	602	1.8951030336683887e-11
42	1499	3.864530540303528e-11
43	6774	4.632043388159344e-11
44	1956	3.6244964403307474e-11
45	3717	1.033805267291524e-11
46	6464	4.617582139521937e-12
47	2064	2.2330737342430527e-12
48	6772	8.987870892080394e-13
49	5747	1.680082705570088e-13
50	2268	1.3189643497806688e-13
51	1445	5.11010301559625e-13
52	5594	3.4883530764995192e-12
53	6256	1.191381482731201e-12
54	5970	3.970899774749422e-12
55	3480	1.0929651274394834e-12
56	8651	8.128647093616616e-13
57	4233	6.00681457152834e-13
58	1030	4.314771754885695e-13
59	4771	7.514965287805326e-14
60	894	7.965433658761043e-15
61	5606	3.1662950770852784e-15
62	26524	2.6694011108616925e-14
63	960	3.2085032002643384e-15
64	6794	4.43203206552734e-16
65	1031	2.8223376510639137e-16
66	1021	9.256890874539072e-17
67	8678	4.320786693048478e-16
68	7015	2.0543944840998423e-16
69	898	3.943852019259939e-17
70	84662	1.5822627788578116e-17
71	11186	2.487917732036269e-18
72	4217	5.7101840191342264e-18
73	5608	3.1260245272320726e-17
74	3082	1.5639694723641947e-18
75	2264	2.470490224946561e-17
76	1969	5.46146931998528e-18
77	11014	1.1096134477785885e-18
78	8463	6.2740912333455335e-18
79	23624	7.090560103692863e-18
80	4194	1.1062879876865676e-18
81	1432	1.0400859290807076e-16
82	5781	3.674647317705233e-15
83	5295	4.793263236960038e-15
84	5524	1.0174603487776605e-15
85	867	2.367444780190959e-15
86	5156	5.069281738862016e-16
87	4193	9.768479224327258e-16
88	5290	1.1150720523022878e-15
89	5296	2.6517328710517138e-15
90	25	3.3290806587394643e-16
91	2066	8.045060858036567e-16
92	7157	7.504913528656806e-16
93	3716	2.683016342002292e-16
94	472	4.990943861261312e-16
95	6197	2.5844471739685595e-16
96	27	8.191492648763496e-16
97	3310	1.0182224149392831e-15
98	5335	1.297852053941013e-16
99	3702	3.421392052459998e-16
100	2885	3.376859042030157e-16
101	857	5.675782776093814e-16
102	3303	3.796823801229875e-16
103	3312	3.2867272445544634e-16
104	6195	7.183441738186461e-17
105	369	1.6772574375015895e-17
106	203068	1.0446453871900051e-16
107	2065	1.9497276461535692e-17
108	3932	3.603007571725773e-18
109	5921	2.273709628678238e-18
110	7535	3.976297438004291e-19
111	7525	9.84118156137447e-19
112	2549	8.877801635306784e-19
113	3055	3.014734915858359e-19
114	3815	1.4467265702909866e-19
115	9021	1.2057251744536228e-19
116	2185	4.790090117934077e-19
117	868	1.0080988963109512e-18
118	5753	6.839130012711595e-20
119	1796	5.461260144383718e-19
120	1399	5.499878700431989e-20
121	6850	7.674722470039432e-20
122	5829	2.93710794454077e-20
123	4067	1.179850632894376e-19
124	6654	1.722211417844236e-19
125	1398	2.757335410617325e-20
126	6461	5.0472588148999736e-20
127	367	1.9151404437500333e-20
128	5336	2.264639759501012e-20
129	7409	6.593151578245752e-21
130	695	2.968550861445451e-21
131	8503	2.0159588842586695e-20
132	29760	6.562206345869219e-20
133	5159	9.258530486755511e-20
134	10818	1.2360463111757498e-20
135	5777	1.8822753637667803e-20
136	1436	5.786160627917213e-20
137	3937	2.2615596513470716e-19
138	640	2.6079981113646296e-19
139	6503	8.930864111093416e-21
140	3313	2.1581715488809337e-19
141	10188	2.137022315071279e-20
142	10657	6.741066730580486e-20
143	3327	8.180044249930112e-20
144	7006	1.6465027397266923e-19
145	4690	2.4580736963658814e-19
146	7454	3.499830700815041e-20
147	4145	2.7990394583918345e-19
148	3643	8.473593377543585e-19
149	10451	1.1213702612977382e-19
150	2887	3.032118079516702e-19
151	5979	1.7304988429384793e-19
152	3309	3.994603554205451e-19
153	3728	1.3259026723568926e-19
154	238	6.633298894473833e-19
155	2002	9.421108961007645e-19
156	9846	1.4033140110517207e-18
157	79705	5.241215552366678e-19
158	9047	1.1104221685583617e-19
159	7534	1.974005001691497e-18
160	408	3.5769116800118806e-19
161	3304	2.49182295673684e-18
162	5175	3.736197043351111e-18
163	30011	4.0915730451708695e-18
164	6452	1.4938628898148721e-18
165	3636	1.7748478279253355e-18
166	292	5.216686933425858e-18
167	5728	1.4800501952159903e-18
168	1938	3.2474853892118807e-18
169	399694	5.976810874454597e-18
170	3635	7.841440829697878e-18
171	5894	9.558424550745297e-18
172	3690	2.759530468360048e-18
173	1213	7.150224197578769e-18
174	5604	8.355890286971292e-18
175	673	1.1539712200052758e-18
176	5581	1.1923485477715076e-18
177	9590	7.917026158779946e-19
178	5250	2.3355429863208436e-18
179	5605	1.1036562929962049e-18
180	5598	1.853928883419748e-18
181	83737	4.7140167760020746e-18
182	10971	2.4725295933000753e-18
183	9743	1.5270199847912892e-18
184	9564	1.763007459222891e-18
185	7094	4.4233682685441115e-19
186	4914	1.5187083034588641e-18
187	5536	3.099925492161915e-19
188	79834	1.3507436740984367e-18
189	2288	1.6431242199550873e-18
190	801	4.399465654282814e-19
191	25970	5.82169140678553e-20
192	1025	1.246795954033514e-18
193	4627	4.727671529257455e-19
194	498	2.211055381076285e-19
195	3305	1.3991070750415572e-19
196	2597	1.9751370218179332e-19
197	10075	6.520454792925169e-20
198	7532	1.5466731625112393e-19
199	8471	1.7255857561588843e-19
200	10413	1.2656777033592013e-19
