#rank	DIAMOnD_node	p_hyper
1	2902	4.616274577773384e-09
2	5705	1.3531245004782388e-07
3	6667	5.933408206882575e-07
4	3320	2.9208501340736173e-07
5	5451	1.4842889425448843e-07
6	1387	1.767938979165073e-07
7	9063	2.1532523452776477e-07
8	1386	2.872506101002944e-07
9	4193	3.306259573726296e-07
10	8850	6.80807607189331e-08
11	3725	3.549221506793451e-08
12	4800	7.227580335125297e-09
13	5241	8.919539875559732e-08
14	5591	1.0579099629607155e-07
15	10524	1.0090117440970536e-07
16	8841	2.034132684349673e-08
17	2033	2.239676079319211e-08
18	4801	9.103894821248425e-09
19	1487	1.3282875660192263e-08
20	3091	2.1752407472500176e-08
21	405	7.432723600214429e-09
22	8648	3.6858213774313357e-09
23	602	4.469815284040281e-09
24	5914	4.9886698126086204e-09
25	6256	2.4520614440911192e-09
26	5594	1.7080098944365052e-09
27	7421	1.2929482524633522e-09
28	9611	3.5243849689156425e-10
29	8202	5.0175584914767154e-11
30	9612	1.227439482429898e-11
31	2113	3.061937060827318e-11
32	5468	5.358433112581034e-11
33	4088	1.0389613265202989e-11
34	10062	2.108304516006521e-11
35	23054	9.35180379973423e-12
36	8856	6.808437180327358e-12
37	10499	8.54496260734936e-13
38	7329	5.2446723238331505e-12
39	3172	1.8369584068728068e-12
40	23411	2.9252177675146446e-12
41	2101	6.422048205272772e-13
42	8431	7.24668252838663e-14
43	7067	4.16828832710894e-13
44	8204	6.347135628946465e-14
45	7376	8.533223640440289e-14
46	10891	1.738720901401714e-13
47	7068	2.925600141027584e-14
48	5467	4.058789148603056e-14
49	6258	1.0544460247049656e-14
50	5465	3.3042408305306818e-15
51	9971	4.080663691363016e-14
52	5970	7.692463342404562e-14
53	595	7.827881711601462e-14
54	2353	8.515192294852367e-14
55	3727	2.2545990737745508e-13
56	6257	5.365564107541614e-13
57	5925	6.43384293675774e-13
58	6908	3.1168978859782633e-13
59	860	4.240587671262811e-13
60	9759	5.770920545189884e-13
61	4790	3.7526043917040846e-13
62	6722	4.0338447543249394e-13
63	1869	4.782641763652136e-13
64	6772	4.0967653183642344e-13
65	3065	2.0989039820366374e-13
66	7157	2.6402683045973346e-13
67	29947	2.5305167527953268e-14
68	1026	3.490350402337895e-13
69	4780	3.9044657403912613e-13
70	6597	6.836738443654245e-14
71	4261	1.251575690187314e-13
72	5371	3.9485152509801707e-14
73	4772	7.407082251805956e-14
74	8554	2.2412405675588824e-14
75	3164	1.4934826422798353e-14
76	6996	9.983821809936712e-14
77	7161	6.630468700180216e-14
78	1147	2.3182489153109068e-14
79	7341	3.544014169153985e-14
80	5325	7.09797564032887e-16
81	7704	2.7246967436148217e-14
82	1050	3.207234038573802e-14
83	3726	2.3011699521330586e-14
84	1958	2.2159289091925954e-14
85	4205	4.99072338547366e-14
86	4209	4.7459182960231827e-14
87	2309	7.496403403996417e-14
88	6670	9.167937715572091e-14
89	7528	9.120162359767868e-14
90	2547	8.056505046821386e-14
91	3159	4.7548711752359625e-14
92	7520	2.940824535214268e-14
93	8805	2.2911055305697967e-14
94	472	2.5403359305875807e-14
95	142	1.5853588650099008e-14
96	5469	4.882640411058266e-15
97	196	3.809486731129755e-15
98	51341	6.533927123369879e-15
99	1499	9.142510757212868e-15
100	688	1.3125542686861987e-15
101	4089	2.2500337819544006e-15
102	4087	1.983906416566181e-15
103	2274	1.4394194745389074e-15
104	2969	3.3346961347074606e-15
105	8091	2.352710311696545e-15
106	10401	1.4977738128840157e-15
107	3066	3.5445990333216994e-15
108	79718	1.2344613700663814e-15
109	604	1.84982122494691e-15
110	6599	4.53700378346193e-15
111	6720	5.398798623505741e-16
112	2648	5.3402049320905305e-15
113	1786	5.929390167351091e-15
114	3308	4.3864848054654975e-15
115	2034	9.69918446019855e-16
116	25942	1.8364688133646123e-16
117	6595	7.56929199222652e-17
118	2099	7.226192583824408e-16
119	9970	3.370854783837799e-17
120	9439	2.1143992251688773e-17
121	9862	4.377041781638792e-17
122	4654	3.766827532780648e-16
123	57634	8.550063099587892e-17
124	7181	9.391136820531867e-17
125	6601	2.0441286881313853e-16
126	861	2.8322923701044815e-17
127	8289	6.197333307560218e-18
128	5929	1.0055767899441087e-18
129	6603	2.100038542886647e-17
130	6604	1.2439657123955297e-18
131	6598	2.0220612354893692e-18
132	26039	6.894173729481996e-19
133	6605	4.49603615425107e-19
134	1649	2.448016311463857e-19
135	6760	4.861453943971064e-20
136	2313	2.0417793512455613e-20
137	57492	4.1684579591284445e-21
138	2078	9.519217406075823e-22
139	121340	4.522840210824954e-21
140	8193	5.964641649867875e-22
141	196528	1.5036709297180284e-22
142	605	1.2354854692982551e-23
143	86	2.655706011840231e-23
144	29998	1.7569956753870673e-24
145	9274	1.534439109740109e-24
146	6602	6.566225911012999e-25
147	2624	1.020489546045643e-25
148	5977	3.637726926808093e-26
149	55193	4.1279144765770194e-27
150	8110	7.23738603175971e-27
151	55274	4.890196464790111e-28
152	9275	1.1845599229811532e-26
153	3659	3.698686590744413e-26
154	6662	9.049195581121733e-26
155	65980	1.0319678166143423e-25
156	4784	1.3805859105531376e-25
157	5080	2.1149938467167732e-26
158	1959	4.940342991027425e-25
159	4774	3.811405970266689e-25
160	1406	6.207860266045102e-26
161	6928	2.7443614875182583e-26
162	4782	8.063222570907824e-26
163	6663	2.006225766108699e-26
164	6907	1.5580483932655965e-27
165	4781	3.670434456980981e-27
166	6862	2.16459354553729e-27
167	84678	3.5584404301547923e-28
168	64321	2.238122320416021e-28
169	8085	1.0691591192698183e-28
170	2625	3.619250947138602e-28
171	7227	1.690312416421333e-27
172	7090	4.265929041592564e-28
173	5081	6.971666683913042e-29
174	8521	1.2276630611951452e-27
175	3096	1.7711479476504327e-28
176	7849	2.140695077925263e-28
177	7403	2.3869031798623106e-29
178	503627	1.2297206124331396e-28
179	7088	1.0867615653596932e-29
180	57479	2.7256383827870196e-29
181	2118	3.3745914695208054e-29
182	79447	5.132253955945382e-29
183	10716	1.6036890677517502e-28
184	9794	6.83862164507242e-29
185	3195	1.929548445006029e-29
186	58508	5.434158307762889e-30
187	22976	2.9778396151093577e-29
188	5083	1.9493003363687262e-30
189	607	2.6806336050732175e-30
190	89884	9.048173503556683e-31
191	55636	9.341649227374458e-31
192	2874	1.1161482754360025e-30
193	83595	1.5001548831625028e-30
194	9355	1.9319651597129436e-30
195	23060	3.2146268702160764e-31
196	2623	1.8242648523686308e-31
197	23314	3.793526464284264e-31
198	7003	1.0954601034206301e-31
199	54880	9.474298903073234e-32
200	57507	2.1230437629393575e-31
