#rank	DIAMOnD_node	p_hyper
1	3320	2.3932088624029725e-07
2	6667	1.122011988742323e-07
3	4193	2.2261989021669214e-07
4	408	1.4801738319334163e-07
5	2782	4.498916365585516e-08
6	2770	1.4756056958604625e-07
7	5451	1.7502555610151843e-07
8	3308	2.1863898194252079e-07
9	5241	8.027461337608137e-08
10	10273	3.7336798178571334e-08
11	6714	2.2712739176538166e-08
12	5594	1.6420553684757126e-08
13	3091	1.3942712678320846e-08
14	2064	4.512535459453512e-08
15	11140	1.2763400307138362e-08
16	1030	6.17874069199972e-09
17	3326	7.919353044976854e-09
18	4296	5.755021327407641e-10
19	1147	2.202553638921716e-10
20	3551	4.2923645312127863e-11
21	1387	1.4898320009331938e-09
22	6195	1.2429277239033581e-09
23	27	2.032935160362044e-09
24	4233	1.959490752016703e-09
25	6794	3.5922140557049404e-10
26	1019	3.861034602307794e-10
27	26524	2.659959824680202e-10
28	1021	4.669002430057287e-11
29	960	1.6349904299392656e-11
30	405	3.5278059060014653e-12
31	5606	1.7309064369449607e-12
32	1031	2.354178474607519e-13
33	894	1.9190907721627577e-13
34	84662	1.3118240448608321e-13
35	3082	1.808228933952922e-14
36	8463	1.692961367330915e-14
37	7015	8.018722071704444e-15
38	4217	1.7352128159987765e-15
39	4771	1.3859503987565774e-15
40	11186	1.187172237312346e-16
41	898	9.439114064392728e-17
42	2264	1.8669327392925065e-16
43	8678	6.429195446127624e-16
44	11014	3.826874508519512e-17
45	1969	6.502836054786605e-17
46	5608	6.307488917427633e-18
47	5156	4.070414185547832e-15
48	4194	1.3894641495903706e-14
49	23624	6.801833357646884e-16
50	5970	7.17725796443188e-14
51	6790	8.573928822167063e-14
52	3480	5.057298759647893e-12
53	94015	4.4446219344353774e-12
54	8517	4.953797883631948e-12
55	5295	6.0848382273485155e-12
56	6464	1.542316815903352e-12
57	5296	1.6374563553769336e-12
58	5747	2.7272936184392487e-12
59	3717	1.9892230116715354e-12
60	2534	5.387535140970841e-13
61	3667	8.430166161568082e-14
62	5781	3.452134612526143e-14
63	867	5.443383804303404e-14
64	7189	6.26406174822008e-13
65	5290	3.7099786307528903e-13
66	1432	7.845480379497236e-13
67	1956	5.021544621404324e-13
68	5979	3.217866361530202e-13
