#rank	DIAMOnD_node	p_hyper
191	7227	3.268718019469592e-26
192	8521	1.050896691059853e-25
193	7403	1.1996080593447356e-25
194	1959	1.9114240723032674e-26
195	5929	2.388060001256813e-26
196	503627	8.737052206930681e-27
197	79447	2.563044174827572e-27
198	7090	6.2556274306364644e-27
199	5081	1.8707187985957825e-27
200	57479	1.5712527121011372e-28
