#rank	DIAMOnD_node	p_hyper
1	3320	6.586230025953508e-08
2	9063	1.6709853646114794e-07
3	1387	1.3925233871207192e-07
4	4193	5.282656810974013e-08
5	3725	2.229059558257235e-08
6	6667	2.3872429779619936e-08
7	405	2.271149112240564e-08
8	3091	8.407984752167555e-09
9	10524	1.143874488686034e-08
10	1386	6.884663645218706e-09
11	7341	3.0104719976444093e-09
12	5594	1.483271279617106e-08
13	6714	5.1613510611204475e-09
14	6195	5.7532228192616196e-09
15	408	7.767138346725278e-09
16	5451	3.4555688547988866e-09
17	5241	7.034559451757018e-09
18	8841	3.6070624887215062e-09
19	5970	9.031670309130451e-10
20	6256	1.812744844821088e-10
21	602	1.846565196036429e-10
22	2033	1.1031528416426259e-10
23	8648	3.056830577638796e-11
24	8850	5.941400969354218e-11
25	3308	3.538280448045515e-11
26	4088	3.4639118396588085e-11
27	8202	4.386005977580724e-12
28	7421	6.33771725918806e-13
29	2353	6.152163096795186e-12
30	9612	1.4374634500219976e-12
31	5914	6.80999662477163e-13
32	23054	6.181850414928936e-13
33	10499	6.642188244170898e-13
34	5468	1.398634521054882e-13
35	9611	2.0688458996849397e-13
36	23411	4.3056240069790124e-14
37	595	1.7123964027472946e-13
38	10062	3.559024319771324e-14
39	3727	9.563594939896324e-14
40	3172	2.401622173952363e-13
41	8431	6.859282879190954e-14
42	8856	9.88751027027815e-15
43	10891	1.4782250092023644e-13
44	9971	3.021842062755796e-14
45	9970	5.5338545722445245e-14
46	7329	9.189265045727632e-14
47	7068	2.925600141027584e-14
48	7067	3.183424336824446e-14
49	8204	7.236239859759417e-15
50	2101	4.3870365875597604e-14
51	7376	1.1759772622429637e-13
52	6258	1.2111322191941825e-14
53	5467	3.4953345584227396e-15
54	5465	4.20367133722653e-15
55	6772	2.438494066838379e-14
56	9759	8.790054101989824e-15
57	860	1.8227871956428795e-14
58	4790	3.613344309712866e-14
59	2113	3.0956167774449306e-15
60	29947	8.563637348135158e-16
61	1869	3.684845810263319e-14
62	8554	5.607918464035814e-14
63	3726	1.0283049565649812e-13
64	6996	5.530496129776369e-14
65	7157	6.974707073136325e-14
66	4772	4.607214349466366e-14
67	5705	9.592983658701919e-14
68	1026	5.03925010725953e-14
69	5925	3.316189968329383e-14
70	7704	1.2659625588592796e-14
71	1050	5.998162921258189e-15
72	5371	1.9982084135614085e-15
73	3065	9.869005610110037e-15
74	6597	2.307754295235623e-15
75	4261	1.0798833161905907e-16
76	6908	1.6034976918623025e-15
77	1487	1.6181297003075597e-15
78	688	2.717752392156453e-15
79	4792	3.5460946357353347e-15
80	2874	5.16549199572466e-15
81	122953	5.7118002723276495e-15
82	4780	7.005372203959641e-15
83	7161	8.58097879654465e-15
84	5325	8.26480092985772e-16
85	6670	3.842458863425109e-15
86	1147	4.3568991436628504e-15
87	2309	4.1944517487563015e-15
88	8805	1.4473223957066552e-14
89	7528	1.5166396506168945e-14
90	1958	2.929513954094132e-14
91	10273	3.33425754819957e-14
92	1499	1.5221694707109064e-14
93	196	2.961869889606207e-15
94	4800	3.4083899261469897e-15
95	5591	3.756659241144976e-15
96	142	1.320310156973514e-15
97	4801	7.614454156039761e-17
98	2547	1.5154311868382157e-16
99	51341	3.644828912909885e-17
100	7520	9.068642013136484e-18
101	1786	2.712720038398684e-17
102	4089	6.185182175924477e-17
103	5469	6.925842981093246e-17
104	3066	1.1336371956683875e-16
105	4087	4.401996503708393e-17
106	2648	2.8429605890075874e-17
107	6720	2.4232027036022004e-17
108	472	2.4758530315423072e-17
109	7428	8.714923009726295e-17
110	3164	2.119350944099057e-17
111	1457	1.8584378087680062e-17
112	7020	5.1142443387741195e-17
113	2034	5.821978447225094e-18
114	9862	2.830792593794778e-17
115	9439	1.4145886859591994e-17
116	6722	1.5210033167724503e-16
117	6591	1.658018159675709e-16
118	10401	1.3869946731681845e-16
119	25942	2.413993347424655e-16
120	2969	4.5400997378273734e-17
121	604	5.404185105586131e-17
122	6688	2.0855780189227347e-17
123	6595	1.305468586615536e-16
124	861	1.8967337341259437e-16
125	4654	4.0872302765014404e-17
126	6599	6.197093987237096e-17
127	6601	3.351381877288092e-17
128	8289	6.718102453416161e-18
129	1649	2.767391853420779e-18
130	5929	1.031571761249112e-17
131	6878	7.362699039362467e-18
132	6603	2.6087659572839842e-17
133	6604	1.4906976561819239e-18
134	79718	2.7072147350711196e-19
135	6598	3.886609776829838e-19
136	6605	5.877716628616861e-19
137	5971	4.902004970753878e-20
138	26039	5.407027434619677e-20
139	6760	6.241903790823664e-20
140	2078	1.2610290723116505e-20
141	2313	7.897589178875027e-22
142	57492	4.60435923017618e-22
143	2624	2.148029833541364e-21
144	605	2.588361139164833e-22
145	86	3.242268186085062e-23
146	8193	1.722110780346754e-24
147	196528	9.680057559344984e-25
148	6602	8.252658724304967e-25
149	5977	3.866527119402731e-25
150	29998	7.570422500574613e-26
151	9274	5.595535869934431e-27
152	121340	2.1640988178766732e-26
153	8110	9.132909770479693e-27
154	55193	6.89581961863408e-27
155	3659	1.1119210353045631e-27
156	55274	7.677737192393086e-28
157	65980	2.0926160381139627e-28
158	6662	4.7389021397703945e-27
159	9275	2.0246175357213577e-26
160	5080	3.187536213652237e-27
161	4784	2.2189994522331936e-25
162	4774	5.0196399830871925e-25
163	6663	2.006225766108699e-26
164	1406	8.223201692090981e-27
165	6907	3.086984544644264e-26
166	6928	4.391013359472592e-26
167	4781	4.365770304306164e-27
168	64321	2.238122320416021e-28
169	6862	2.765474949657688e-27
170	4782	1.014966495875122e-27
171	2625	3.9822674294660123e-28
172	84678	3.2278945091413383e-29
173	7227	1.0627951795063172e-28
174	7090	5.467298488205423e-28
175	1959	3.717108029078268e-29
176	8085	1.2067859053055281e-29
177	503627	2.4462407195109675e-30
178	5081	5.055678702811175e-30
179	7403	2.868500243884566e-29
180	8521	1.3661605336101906e-30
181	7849	1.3516775425130165e-29
182	2623	1.7227110040049976e-29
183	3096	2.5525736413782253e-29
184	57479	3.670397847359017e-29
185	7181	9.068182719426603e-29
186	10716	2.043283042210597e-28
187	9794	8.407274569248946e-29
188	5083	7.845252522986433e-28
189	607	8.053699163964167e-29
190	2118	6.273136258047191e-29
191	22976	4.847348623015806e-29
192	58508	9.170594990581371e-30
193	79447	1.7854954121497986e-30
194	3195	1.6809146996895131e-31
195	23060	6.190426031478411e-30
196	89884	1.6061365472825004e-30
197	83595	2.0216976878741973e-30
198	55636	1.7636649264850826e-30
199	54880	1.1593111030348836e-29
200	5076	1.6067459697536525e-30
